Date,BidAsk,Vol,Open,High,Low,Close,S_1,S_3,S_5,Corr,OD,OL,Std_U,Std_D
2022-09-19 11:18:00,195,8075,3899.25,3902.75,3898.5,3898.5,,,,,,,3.5,0.75
2022-09-19 11:19:00,-330,4865,3898.0,3898.5,3895.5,3895.75,3898.5,,,,-1.25,-0.5,0.5,2.5
2022-09-19 11:20:00,-295,4963,3896.0,3896.25,3893.25,3893.5,3895.75,,,,-2.0,0.25,0.25,2.75
2022-09-19 11:21:00,-625,6863,3893.75,3893.75,3890.5,3891.0,3893.5,3895.9166666666665,,,-2.25,0.25,0.0,3.25
2022-09-19 11:22:00,211,5035,3891.0,3893.75,3891.0,3893.75,3891.0,3893.4166666666665,,0.9961262334806872,-2.75,0.0,2.75,0.0
2022-09-19 11:23:00,-233,3484,3893.5,3893.5,3891.0,3893.0,3893.75,3892.75,3894.5,-0.11243162160188083,2.5,-0.25,0.0,2.5
2022-09-19 11:24:00,-1202,8362,3893.5,3894.0,3889.5,3890.0,3893.0,3892.5833333333335,3893.4,-0.6505136534881684,0.0,0.5,0.5,4.0
2022-09-19 11:25:00,-268,6236,3889.75,3891.25,3888.0,3889.25,3890.0,3892.25,3892.25,-0.43205506211924055,-3.75,-0.25,1.5,1.75
2022-09-19 11:26:00,-685,5905,3888.75,3889.0,3886.75,3887.5,3889.25,3890.75,3891.4,0.7857142857144955,-1.0,-0.5,0.25,2.0
2022-09-19 11:27:00,-174,3907,3887.25,3887.75,3886.0,3886.25,3887.5,3888.9166666666665,3890.7,0.8470243639398247,-1.5,-0.25,0.5,1.25
2022-09-19 11:28:00,-246,3725,3886.25,3886.5,3885.25,3885.25,3886.25,3887.6666666666665,3889.2,0.9483221127683916,-1.0,0.0,0.25,1.0
2022-09-19 11:29:00,104,4587,3885.25,3885.25,3884.0,3884.0,3885.25,3886.3333333333335,3887.65,0.9994922756164777,-1.0,0.0,0.0,1.25
2022-09-19 11:30:00,73,4491,3883.75,3884.75,3883.5,3884.25,3884.0,3885.1666666666665,3886.45,0.9918032789340185,-1.5,-0.25,1.0,0.25
2022-09-19 11:31:00,-368,7683,3884.25,3884.25,3879.25,3880.5,3884.25,3884.5,3885.45,0.7124684166892429,0.5,0.0,0.0,5.0
2022-09-19 11:32:00,106,5180,3879.75,3882.5,3879.5,3881.5,3880.5,3882.9166666666665,3884.05,0.2704093038431914,-4.5,-0.75,2.75,0.25
2022-09-19 11:33:00,32,4985,3881.75,3884.0,3881.5,3882.0,3881.5,3882.0833333333335,3883.1,0.20212339354325265,2.0,0.25,2.25,0.25
2022-09-19 11:34:00,-227,3952,3882.5,3882.75,3881.0,3881.25,3882.0,3881.3333333333335,3882.45,-0.8287694032841689,0.75,0.5,0.25,1.5
2022-09-19 11:35:00,-608,5444,3881.25,3881.25,3878.0,3878.75,3881.25,3881.5833333333335,3881.9,-0.14285715350187814,-1.25,0.0,0.0,3.25
2022-09-19 11:36:00,-257,5723,3878.5,3880.0,3876.75,3877.75,3878.75,3880.6666666666665,3880.8,0.5930827704138892,-2.75,-0.25,1.5,1.75
2022-09-19 11:37:00,-380,7072,3877.75,3878.5,3874.75,3875.5,3877.75,3879.25,3880.25,0.8556592425422872,-0.75,0.0,0.75,3.0
2022-09-19 11:38:00,17,65,3875.25,3875.25,3875.25,3875.25,3875.5,3877.3333333333335,3879.05,0.8955742344402327,-2.5,-0.25,0.0,0.0
